hr,weather_desc,is_member,temp_bin,wind_bin,duration_mean,count
0,rain,N,"(40.618, 47.703]","[12.24, 24.48)",15.815873015873017,0.0773955773955774
0,rain,N,"(54.788, 61.873]","[0.0, 12.24)",14.28953488372093,0.15847665847665848
0,rain,N,"(61.873, 68.958]","[0.0, 12.24)",15.48064236111111,0.23587223587223588
0,rain,N,"(61.873, 68.958]","[24.48, 36.72)",16.149607843137254,0.10442260442260443
0,rain,N,"(68.958, 76.042]","[0.0, 12.24)",17.814064436183397,0.33046683046683045
0,rain,N,"(76.042, 83.127]","[0.0, 12.24)",16.855351681957185,0.1339066339066339
0,rain,N,"(76.042, 83.127]","[24.48, 36.72)",21.70759587020649,0.27764127764127766
0,rain,N,"(83.127, 90.212]","[12.24, 24.48)",15.64943820224719,0.10933660933660934
0,rain,N,"(83.127, 90.212]","[24.48, 36.72)",16.78076923076923,0.06388206388206388
0,rain,Y,"(33.534, 40.618]","[0.0, 12.24)",9.778741496598638,0.12039312039312039
0,rain,Y,"(40.618, 47.703]","[12.24, 24.48)",9.882802124833997,0.3083538083538084
0,rain,Y,"(54.788, 61.873]","[0.0, 12.24)",11.013788741302973,0.6474201474201474
0,rain,Y,"(61.873, 68.958]","[0.0, 12.24)",11.103775038520801,0.7972972972972973
0,rain,Y,"(61.873, 68.958]","[24.48, 36.72)",10.326289308176099,0.32555282555282555
0,rain,Y,"(68.958, 76.042]","[0.0, 12.24)",12.06106210951856,1.1142506142506143
0,rain,Y,"(76.042, 83.127]","[0.0, 12.24)",12.099318658280923,0.3906633906633907
0,rain,Y,"(76.042, 83.127]","[24.48, 36.72)",12.272648514851484,0.4963144963144963
0,rain,Y,"(83.127, 90.212]","[12.24, 24.48)",11.627162629757786,0.35503685503685506
0,rain,Y,"(83.127, 90.212]","[24.48, 36.72)",12.756357388316152,0.3574938574938575
0,thunderstorm,N,"(61.873, 68.958]","[0.0, 12.24)",17.83482142857143,0.2751842751842752
0,thunderstorm,Y,"(61.873, 68.958]","[0.0, 12.24)",12.51826797385621,0.6265356265356266
0,cloudy,N,"(33.534, 40.618]","[12.24, 24.48)",9.701960784313725,0.020884520884520884
0,cloudy,N,"(40.618, 47.703]","[0.0, 12.24)",17.254112554112556,0.0945945945945946
0,cloudy,N,"(40.618, 47.703]","[12.24, 24.48)",20.31705426356589,0.10565110565110565
0,cloudy,N,"(40.618, 47.703]","[24.48, 36.72)",11.746491228070175,0.07002457002457002
0,cloudy,N,"(47.703, 54.788]","[0.0, 12.24)",21.79067599067599,0.17567567567567569
0,cloudy,N,"(47.703, 54.788]","[12.24, 24.48)",16.46657986111111,0.23587223587223588
0,cloudy,N,"(47.703, 54.788]","[24.48, 36.72)",14.97183908045977,0.03562653562653563
0,cloudy,N,"(54.788, 61.873]","[0.0, 12.24)",16.847395833333334,0.3931203931203931
0,cloudy,N,"(54.788, 61.873]","[12.24, 24.48)",14.838,0.09213759213759214
0,cloudy,N,"(54.788, 61.873]","[24.48, 36.72)",17.947407407407407,0.11056511056511056
0,cloudy,N,"(61.873, 68.958]","[0.0, 12.24)",16.52921374764595,0.8697788697788698
0,cloudy,N,"(61.873, 68.958]","[12.24, 24.48)",15.809523809523808,0.16339066339066338
0,cloudy,N,"(68.958, 76.042]","[0.0, 12.24)",18.22806910569106,2.0147420147420148
0,cloudy,N,"(68.958, 76.042]","[12.24, 24.48)",17.311813725490197,1.253071253071253
0,cloudy,N,"(68.958, 76.042]","[24.48, 36.72)",16.280404685835997,0.3845208845208845
0,cloudy,N,"(76.042, 83.127]","[0.0, 12.24)",15.5,0.1511056511056511
0,cloudy,N,"(76.042, 83.127]","[12.24, 24.48)",18.67109440267335,0.9803439803439803
