weather_desc,is_member,duration_mean,count,start_station_name,end_station_name
haze,N,10.133333333333333,1,Cartier / Rosemont,de la Roche / du Mont-Royal
sky is clear,Y,13.433333333333334,1,Édouard-Montpetit / Stirling,Casgrain / de Bellechasse
cloudy,Y,4.533333333333333,1,de Lanaudière / Gilford,de Bordeaux / Marie-Anne
rain,Y,8.016666666666667,1,Lajeunesse / Jean-Talon,St-Dominique / St-Zotique
cloudy,N,25.9,1,St-André / Robin,Augustin-Cantin / Shearer
cloudy,Y,26.816666666666666,1,Crescent / René-Lévesque,Cote St-Paul / St-Ambroise
mist,Y,13.533333333333333,3,Métro Mont-Royal (Rivard / du Mont-Royal),Resther / du Mont-Royal
cloudy,N,22.166666666666668,1,Villeneuve / de l'Hôtel-de-Ville,de la Commune / McGill
cloudy,Y,10.55,1,de la Roche / St-Joseph,des Érables / Gauthier
cloudy,N,9.925,2,Boyer / Rosemont,Boyer / St-Zotique
cloudy,Y,12.95,2,Marie-Anne / de la Roche,du Parc-La Fontaine / Duluth
rain,Y,21.066666666666666,1,Hutchison/ Prince-Arthur,Hudson / de Kent
mist,Y,31.816666666666666,1,de la Commune / McGill,de la Roche / du Mont-Royal
mist,Y,6.633333333333334,12,Métro Outremont (Wiseman / Van Horne),Bernard / Jeanne-Mance
cloudy,N,16.833333333333332,1,de Bullion / St-Joseph,St-Jacques / St-Pierre
mist,Y,2.9625,4,de Bullion / du Mont-Royal,Resther / du Mont-Royal
cloudy,Y,15.016666666666667,1,Clark / Laurier,St-Denis / de Maisonneuve
cloudy,Y,15.483333333333333,1,de St-Vallier / Rosemont,15e avenue / Masson
cloudy,Y,10.6,2,Montcalm / Ontario,Métro Place-d'Armes (Viger / St-Urbain)
cloudy,Y,25.15,1,du Mont-Royal / Augustin-Frigon,St-André / Cherrier
cloudy,Y,17.2,1,de l'Esplanade / Laurier,Chabot / du Mont-Royal
fog,Y,12.675,2,Guy / Notre-Dame,Rushbrooke /  Caisse
cloudy,Y,6.433333333333334,1,d'Outremont / Ogilvy,Sanguinet / Ste-Catherine
sky is clear,Y,17.6,1,Larivière / de Lorimier,Desjardins / Hochelaga
cloudy,Y,33.575,2,Villeneuve / St-Laurent,Ste-Catherine / St-Hubert
cloudy,Y,17.727777777777778,3,Parc Jeanne Mance (monument George-Étienne Cartier),Garnier / du Mont-Royal
cloudy,Y,15.666666666666666,1,Hôtel-de-Ville 2 (du Champs-de-Mars / Gosford),Gauthier / Papineau
cloudy,Y,26.625,2,de la Gauchetière / Mansfield,Métro Charlevoix (Centre / Charlevoix)
mist,Y,10.026666666666667,5,Métro George-Vanier (St-Antoine / Canning),de Maisonneuve / Greene
cloudy,Y,34.81666666666667,1,Angus (Molson / William-Tremblay),Jacques-Cassault / Christophe-Colomb
mist,Y,7.0,1,St-Dominique / Rachel,de Gaspé / St-Viateur
mist,Y,7.783333333333333,1,Alexandre-DeSève / de Maisonneuve,Roy / St-Christophe
fog,Y,33.2,1,St-Cuthbert / St-Urbain,10e avenue / Masson
cloudy,N,2.1772727272727272,11,de la Roche / du Mont-Royal,Garnier / du Mont-Royal
fog,Y,16.616666666666667,1,Prince-Arthur / St-Urbain,Shannon / Ottawa
cloudy,N,27.583333333333332,1,Ste-Catherine / St-Hubert,Hillside / Ste-Catherine
cloudy,Y,13.816666666666666,1,De La Roche / Everett,Parc Rosemont (Dandurand / d'Iberville)
cloudy,N,23.3,1,Roy / St-Laurent,Towers / Ste-Catherine
cloudy,Y,20.983333333333334,1,Poupart / Ontario,Gauvin / Notre-Dame
mist,N,12.966666666666667,1,Fullum / Sherbrooke ,Marché Maisonneuve
cloudy,N,6.479166666666667,4,Boyer / St-Zotique,De La Roche / Everett
sky is clear,Y,17.4,1,Rachel / Brébeuf,Fairmount / St-Dominique
fog,N,3.5125,4,McGill / des Récollets,St-Antoine / St-François-Xavier
fog,Y,9.741666666666667,2,Boyer / Beaubien,Louis-Hébert / Bélanger
cloudy,Y,10.916666666666666,2,Louis Hémon / Rosemont,Marquette / Laurier
cloudy,N,16.166666666666668,1,Lajeunesse / de Castelnau,Laurier / Bordeaux
mist,Y,4.8533333333333335,5,Square St-Louis,Milton / Clark
fog,Y,17.733333333333334,2,de l'Esplanade / Fairmount,Bernard / Clark
sky is clear,Y,5.45,1,d'Outremont / Ogilvy,Queen / Ottawa
rain,N,21.933333333333334,2,Waverly / St-Viateur,de Maisonneuve / Robert-Bourassa
cloudy,Y,16.716666666666665,2,Square Victoria,Métro Lionel-Groulx (Lionel-Groulx / Charlevoix)
rain,Y,28.383333333333333,1,St-Mathieu / Sherbrooke,Crescent / René-Lévesque
cloudy,Y,29.85,1,François-Perrault / L.-O.-David,Hélène-Baillargeon / St-Denis
cloudy,Y,7.283333333333333,1,de l'Esplanade / Fairmount,Berri / St-Grégoire
sky is clear,Y,13.116666666666667,1,Bélanger / St-Denis,Louis Hémon / Rosemont
cloudy,Y,24.433333333333334,1,Laurier / Bordeaux,Lajeunesse / Crémazie
mist,Y,26.933333333333334,1,de Maisonneuve / Mansfield,Victoria Hall
cloudy,N,15.86111111111111,3,de Maisonneuve / de Bleury,de l'Esplanade / Laurier
cloudy,Y,14.683333333333334,1,Parc Jean-Brillant (Swail / Decelles),Laval / du Mont-Royal
cloudy,Y,2.05,1,Boyer / Beaubien,Drolet / Beaubien
cloudy,Y,7.716666666666667,1,Omer-Lavallée / Midway,Parc du Pélican (2e avenue / St-Joseph)
mist,Y,20.558333333333334,2,Guizot / St-Laurent,Bernard / Clark
cloudy,N,5.062962962962962,9,Métro St-Laurent (de Maisonneuve / St-Laurent),Ste-Catherine / St-Hubert
rain,Y,4.531666666666666,10,Ann / William,Gauvin / Notre-Dame
cloudy,Y,12.616666666666667,1,Sanguinet / de Maisonneuve,Drummond / de Maisonneuve
sky is clear,Y,9.366666666666667,1,des Seigneurs / Notre-Dame,Gauvin / Notre-Dame
rain,N,9.347619047619048,7,Rachel / Brébeuf,St-Dominique / Rachel
cloudy,N,9.783333333333333,1,Faillon / St-Denis,de St-Vallier / Rosemont
cloudy,Y,6.583333333333333,1,Chambord / Bélanger,Parc Père-Marquette (Chambord / Rosemont)
cloudy,Y,25.158333333333335,2,Boyer / Rosemont,Boyer / Rosemont
cloudy,Y,11.0,1,Napoléon /  St-Dominique,Milton / Université
sky is clear,Y,25.816666666666666,1,de Maisonneuve / de Bleury,St-Dominique / St-Viateur
rain,Y,14.816666666666666,1,St-Zotique / Clark,de l'Esplanade / Fairmount
cloudy,Y,21.933333333333334,1,Métro Charlevoix (Centre / Charlevoix),de Maisonneuve / de Bleury
cloudy,N,3.5233333333333334,15,Roy / St-Laurent,Square St-Louis
sky is clear,N,15.125,2,du Parc-La Fontaine / Roy,Ste-Catherine / St-Hubert
cloudy,Y,6.683333333333334,2,de Gaspé / Fairmount,Marquette / Laurier
thunderstorm,Y,17.466666666666665,1,16e avenue / St-Joseph,Alexandre-DeSève / de Maisonneuve
cloudy,N,10.783333333333333,1,Notre-Dame / Peel,Union / President-Kennedy
cloudy,Y,15.35,2,Sanguinet / Ontario,Muray / Notre-Dame
mist,Y,27.033333333333335,1,Hillside / Ste-Catherine,de la Commune / St-Sulpice
sky is clear,Y,6.441666666666666,6,Clark / Laurier,Casgrain / de Bellechasse
cloudy,Y,11.4,1,de la Gauchetière / Robert-Bourassa,Plessis / René-Lévesque
cloudy,Y,38.483333333333334,1,de la Gauchetière / de Bleury,Mackay / René-Lévesque
cloudy,Y,15.7,1,Alexandre-DeSève / de Maisonneuve,Joliette / Ste-Catherine
fog,N,7.425,2,Roy / St-Christophe,Resther / St-Joseph
